ID,App,Category,Description,Auth Methods,Credential Access,Free/Trial Access,API Availability,API Breadth,Doc Quality,MCP Status,Buildability,Primary Blocker,Evidence URL,Confidence,Human Verification Required
78,Coda,Productivity and Project Management,Interactive collaborative document editor that blends text documents with spreadsheets and app formulas.,API Token (Bearer); OAuth 2.0,SELF_SERVE,Free tier with full REST API and API token creation capabilities.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://coda.io/developers/apis/v1#section/Authentication,0.99,False
79,Smartsheet,Productivity and Project Management,Enterprise collaborative work management platform using a familiar grid spreadsheet interface.,API Access Token (Bearer); OAuth 2.0,SELF_SERVE,30-day free trial with full API access.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://smartsheet.redoc.ly/#section/Authentication,0.98,False
80,Harvest,Productivity and Project Management,"Time tracking, project expense management, and invoicing software for service businesses.",Personal Access Token (Bearer); OAuth 2.0,SELF_SERVE,"Free plan (1 seat, 2 projects) or 30-day free trial with full API access.",REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://help.getharvest.com/api-v2/authentication-other-methods/overview/authentication/,0.98,False
81,Stripe,Finance and Fintech,"Financial infrastructure platform for payment processing, subscription billing, payouts, and financial services.",API Key (Secret Key); OAuth 2.0 (Stripe Connect); Restricted API Key,SELF_SERVE,Completely free test mode sandbox with instant API key access; no credit card required to develop.,REST,BROAD,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,None,https://docs.stripe.com/api/authentication,1.0,False
82,Plaid,Finance and Fintech,Open banking financial network connecting bank accounts to consumer fintech applications.,API Key (Client ID & Secret Headers); Bearer Token (Link Token),SELF_SERVE,Free Sandbox environment with 100 free test items upon signup.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://plaid.com/docs/api/,0.99,False
83,Binance,Finance and Fintech,"Global cryptocurrency exchange platform for spot, futures, margin trading, and market data.",API Key; HMAC-SHA256 Signature; RSA Key; Ed25519,SELF_SERVE,Free account creation with Spot Testnet and public market data APIs requiring no auth.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://binance-docs.github.io/apidocs/spot/en/#general-api-information,0.99,False
84,Paygent Connect,Finance and Fintech,Payment gateway and merchant transaction orchestration platform (often deployed with NMI integration).,API Key; Basic Authentication (Merchant ID / Secret),ADMIN_APPROVAL,Merchant contract / payment processor underwriting required; no public self-serve sandbox.,REST,MEDIUM,MEDIUM,NO_MCP_FOUND,MEDIUM,Merchant underwriting and account approval requirement,https://www.nmi.com/docs/api/,0.9,True
85,iPayX,Finance and Fintech,AI-driven financial audit and payment analysis platform for foreign exchange and cross-border transactions.,Bearer Token; API Key,SELF_SERVE,Free tier with 10 audits per day per API key; paid tier for unlimited audits.,REST,MEDIUM,HIGH,NO_MCP_FOUND,HIGH,None,https://ipayx.ai/docs,0.96,False
86,QuickBooks,Finance and Fintech,"Small business accounting software for invoicing, expense tracking, payroll, and bookkeeping.",OAuth 2.0,SELF_SERVE,Free Intuit Developer account with permanent Sandbox company environments.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization/oauth-2.0,0.98,False
87,Xero,Finance and Fintech,"Cloud accounting platform for small businesses, accountants, and bookkeepers to manage finances.",OAuth 2.0,SELF_SERVE,Free Xero Developer account with Demo Company sandboxes.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,None,https://developer.xero.com/documentation/guides/oauth2/overview/,0.99,False
88,Brex,Finance and Fintech,"Corporate card, spend management, business banking, and travel platform for growing companies.",User Token (Bearer); Service Account Token; OAuth 2.0,SELF_SERVE_WITH_PLAN_REQUIREMENT,Requires active Brex customer account (admin access) to generate developer tokens.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,Brex customer account / admin access required,https://developer.brex.com/docs/authentication/,0.97,False
89,Ramp,Finance and Fintech,Corporate card and financial automation platform designed to control spend and automate accounting.,OAuth 2.0; API Key (Client ID / Secret),SELF_SERVE_WITH_PLAN_REQUIREMENT,Requires active Ramp customer organization to register developer applications.,REST,BROAD,HIGH,COMMUNITY_MCP,HIGH,Ramp customer organization / admin access required,https://docs.ramp.com/developer-api/authentication,0.97,False
90,PitchBook,Finance and Fintech,"Financial market research database covering private capital, venture capital, PE, and M&A transactions.",API Key; Basic Authentication; Bearer Token,PARTNER_OR_SALES_GATED,"Enterprise direct sales contract required ($20,000+/year); no public free tier or self-serve sandbox.",REST,BROAD,HIGH,NO_MCP_FOUND,LOW,Enterprise direct sales contract gate ($20k+/yr paywall),https://pitchbook.com/products/data/direct-data,0.96,True
91,NotebookLM,"AI, Research and Media-native","AI-powered personalized research assistant by Google for querying source documents, generating notes, and audio summaries (Enterprise companion via Gemini for Google Cloud).",Google Cloud IAM (Service Account Key / ADC); OAuth 2.0 (Bearer Token),ADMIN_APPROVAL,Consumer app (notebooklm.google.com) is free web-only with zero public APIs; enterprise programmatic companion API requires Google Cloud project enablement and Gemini Enterprise subscriptions.,LIMITED_API,MEDIUM,HIGH,NO_MCP_FOUND,LOW,No public consumer API; Enterprise companion capabilities require Google Cloud Gemini Enterprise IAM enablement,https://docs.cloud.google.com/gemini/docs/api/reference/rest,0.99,True
92,Otter AI,"AI, Research and Media-native","AI meeting assistant that records audio, writes notes, captures slides, and generates meeting summaries.",OAuth 2.0; Bearer Token; API Key,SELF_SERVE_WITH_PLAN_REQUIREMENT,Free Basic plan available; full MCP server and Enterprise API require Business/Enterprise tier.,REST,MEDIUM,HIGH,OFFICIAL_MCP,HIGH,None,https://help.otter.ai,0.97,False
93,Fathom,"AI, Research and Media-native","AI meeting recorder and transcription tool for Zoom, Google Meet, and Microsoft Teams that generates notes.",API Key (X-Api-Key Header); OAuth 2.0,SELF_SERVE,Free tier available with self-serve API key generation in user settings.,REST,MEDIUM,HIGH,OFFICIAL_MCP,HIGH,None,https://fathom.video,0.98,False
94,Consensus,"AI, Research and Media-native","AI-powered academic search engine delivering evidence, summaries, and consensus from 200M+ peer-reviewed research papers.",OAuth 2.0 (PKCE); API Key (x-api-key / Bearer Token); No Auth (Public MCP Tier),SELF_SERVE,"Free tier with no account required (3 papers/search unlimited) or free account (10 papers/search, 30/mo); official first-party MCP server at https://mcp.consensus.app/mcp.",REST,MEDIUM,HIGH,OFFICIAL_MCP,HIGH,None,https://docs.consensus.app/,0.99,False
95,Reducto,"AI, Research and Media-native","AI-native document parser converting complex PDFs, scans, tables, and forms into LLM-ready markdown.",API Key (Bearer Token),SELF_SERVE,Free credits upon signup in Reducto Studio; pay-per-page usage.,REST,MEDIUM,HIGH,NO_MCP_FOUND,HIGH,None,https://docs.reducto.ai/,0.98,False
96,Devin,"AI, Research and Media-native","Autonomous AI software engineering agent platform by Cognition for building, debugging, and testing code.",API Key (Service User Token cog_); Bearer Token,SELF_SERVE_WITH_PLAN_REQUIREMENT,Paid Devin subscription/seat required to provision Service Users and access API.,REST,BROAD,HIGH,OFFICIAL_MCP,HIGH,Devin paid subscription requirement,https://docs.devin.ai/,0.98,False
97,higgsfield,"AI, Research and Media-native","Generative AI platform and CLI suite for video generation, character animation, and camera controls.",API Key; Bearer Token (CLI Auth Token),SELF_SERVE,Free credits upon signup; pay-per-generation credits for video models.,REST,MEDIUM,HIGH,NO_MCP_FOUND,HIGH,None,https://github.com/higgsfield-ai/cli,0.96,False
98,Mermaid CLI,"AI, Research and Media-native","Command-line interface and programmatic library for converting Mermaid markdown text definitions into SVG, PNG, and PDF diagrams.",None (Open Source CLI),SELF_SERVE,Completely free open-source software (@mermaid-js/mermaid-cli) on npm and GitHub.,CLI_ONLY,MEDIUM,HIGH,COMMUNITY_MCP,MEDIUM,CLI only / No hosted cloud REST API,https://github.com/mermaid-js/mermaid-cli,0.99,False
99,YouTube Transcript,"AI, Research and Media-native","Hosted API service for extracting automated and manual transcripts, timestamps, and video metadata.",API Key; Bearer Token,SELF_SERVE,Free trial tier available on TranscriptAPI.com; paid plans for high-volume extraction.,REST,MEDIUM,HIGH,OFFICIAL_MCP,HIGH,None,https://transcriptapi.com,0.98,False
100,Grain,"AI, Research and Media-native","AI meeting workspace for recording, transcribing, and summarizing customer conversations and sales calls.",Bearer Token (Personal / Workspace Access Token); OAuth 2.0,SELF_SERVE_WITH_PLAN_REQUIREMENT,Free trial available; Business/Enterprise plan required for API token generation.,REST,MEDIUM,HIGH,OFFICIAL_MCP_SUPPORTED,HIGH,Business or Enterprise plan required for API access,https://developers.grain.com,0.97,False
